id,label,subTypeOf,preprocessed_label
https://schema.org/Psychiatric,Psychiatric,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",psychiatric
https://schema.org/PublicHealth,PublicHealth,"https://schema.org/MedicalBusiness, https://schema.org/MedicalSpecialty",public health
https://schema.org/PublicSwimmingPool,PublicSwimmingPool,https://schema.org/SportsActivityLocation,public swimming pool
https://schema.org/Reservoir,Reservoir,https://schema.org/BodyOfWater,reservoir
https://schema.org/Resort,Resort,https://schema.org/LodgingBusiness,resort
https://schema.org/Restaurant,Restaurant,https://schema.org/FoodEstablishment,restaurant
https://schema.org/RiverBodyOfWater,RiverBodyOfWater,https://schema.org/BodyOfWater,river body of water
https://schema.org/RoofingContractor,RoofingContractor,https://schema.org/HomeAndConstructionBusiness,roofing contractor
https://schema.org/School,School,https://schema.org/EducationalOrganization,school
https://schema.org/SeaBodyOfWater,SeaBodyOfWater,https://schema.org/BodyOfWater,sea body of water
https://schema.org/ShoeStore,ShoeStore,https://schema.org/Store,shoe store
https://schema.org/SingleFamilyResidence,SingleFamilyResidence,https://schema.org/House,single family residence
https://schema.org/SkiResort,SkiResort,"https://schema.org/Resort, https://schema.org/SportsActivityLocation",ski resort
https://schema.org/SportingGoodsStore,SportingGoodsStore,https://schema.org/Store,sporting goods store
https://schema.org/SportsClub,SportsClub,https://schema.org/SportsActivityLocation,sports club
https://schema.org/StadiumOrArena,StadiumOrArena,"https://schema.org/CivicStructure, https://schema.org/SportsActivityLocation",stadium or arena
https://schema.org/Synagogue,Synagogue,https://schema.org/PlaceOfWorship,synagogue
https://schema.org/TattooParlor,TattooParlor,https://schema.org/HealthAndBeautyBusiness,tattoo parlor
https://schema.org/TennisComplex,TennisComplex,https://schema.org/SportsActivityLocation,tennis complex
https://schema.org/TireShop,TireShop,https://schema.org/Store,tire shop
https://schema.org/ToyStore,ToyStore,https://schema.org/Store,toy store
https://schema.org/Waterfall,Waterfall,https://schema.org/BodyOfWater,waterfall
https://schema.org/WholesaleStore,WholesaleStore,https://schema.org/Store,wholesale store
https://schema.org/Winery,Winery,https://schema.org/FoodEstablishment,winery
https://schema.org/CatholicChurch,CatholicChurch,https://schema.org/Church,catholic church
https://schema.org/CovidTestingFacility,CovidTestingFacility,https://schema.org/MedicalClinic,covid testing facility
https://schema.org/FireStation,FireStation,"https://schema.org/CivicStructure, https://schema.org/EmergencyService",fire station
https://schema.org/Hospital,Hospital,"https://schema.org/CivicStructure, https://schema.org/EmergencyService, https://schema.org/MedicalOrganization",hospital
https://schema.org/PoliceStation,PoliceStation,"https://schema.org/CivicStructure, https://schema.org/EmergencyService",police station
https://schema.org/SkiResort,SkiResort,"https://schema.org/Resort, https://schema.org/SportsActivityLocation",ski resort
